id,name,group,db_field,cumulative,unit
5-18,Total net,Charging dock socket #4,payload.d.5.18,,
5-19,L1 import,Charging dock socket #4,payload.d.5.19,,
5-20,L1 export,Charging dock socket #4,payload.d.5.20,,
5-21,L1 net,Charging dock socket #4,payload.d.5.21,,
5-22,L2 import,Charging dock socket #4,payload.d.5.22,,
5-23,L2 export,Charging dock socket #4,payload.d.5.23,,
5-24,L2 net,Charging dock socket #4,payload.d.5.24,,
5-25,L3 import,Charging dock socket #4,payload.d.5.25,,
5-26,L3 export,Charging dock socket #4,payload.d.5.26,,
5-27,L3 net,Charging dock socket #4,payload.d.5.27,,
8-1,Total power,Charging dock socket #5,payload.d.8.1,,
8-2,L1 power,Charging dock socket #5,payload.d.8.2,,
8-3,L2 power,Charging dock socket #5,payload.d.8.3,,
8-4,L3 power,Charging dock socket #5,payload.d.8.4,,
8-5,L1 current,Charging dock socket #5,payload.d.8.5,,
8-6,L2 current,Charging dock socket #5,payload.d.8.6,,
8-7,L3 current,Charging dock socket #5,payload.d.8.7,,
8-8,N current,Charging dock socket #5,payload.d.8.8,,
8-9,Frequency,Charging dock socket #5,payload.d.8.9,,
8-10,L1-N voltage,Charging dock socket #5,payload.d.8.10,,
8-11,L2-N voltage,Charging dock socket #5,payload.d.8.11,,
8-12,L3-N voltage,Charging dock socket #5,payload.d.8.12,,
8-13,L1-L2 voltage,Charging dock socket #5,payload.d.8.13,,
8-14,L3-L2 voltage,Charging dock socket #5,payload.d.8.14,,
8-15,L1-L3 voltage,Charging dock socket #5,payload.d.8.15,,
8-16,Total import,Charging dock socket #5,payload.d.8.16,,
8-17,Total export,Charging dock socket #5,payload.d.8.17,,
8-18,Total net,Charging dock socket #5,payload.d.8.18,,
8-19,L1 import,Charging dock socket #5,payload.d.8.19,,
8-20,L1 export,Charging dock socket #5,payload.d.8.20,,
8-21,L1 net,Charging dock socket #5,payload.d.8.21,,
8-22,L2 import,Charging dock socket #5,payload.d.8.22,,
8-23,L2 export,Charging dock socket #5,payload.d.8.23,,
8-24,L2 net,Charging dock socket #5,payload.d.8.24,,
8-25,L3 import,Charging dock socket #5,payload.d.8.25,,
8-26,L3 export,Charging dock socket #5,payload.d.8.26,,
8-27,L3 net,Charging dock socket #5,payload.d.8.27,,
9-1,Total power,Safari house,payload.d.9.1,,
9-2,L1 power,Safari house,payload.d.9.2,,
9-3,L2 power,Safari house,payload.d.9.3,,
9-4,L3 power,Safari house,payload.d.9.4,,
9-5,L1 current,Safari house,payload.d.9.5,,
9-6,L2 current,Safari house,payload.d.9.6,,
9-7,L3 current,Safari house,payload.d.9.7,,
9-8,N current,Safari house,payload.d.9.8,,
9-9,Frequency,Safari house,payload.d.9.9,,
9-10,L1-N voltage,Safari house,payload.d.9.10,,
9-11,L2-N voltage,Safari house,payload.d.9.11,,
9-12,L3-N voltage,Safari house,payload.d.9.12,,
9-13,L1-L2 voltage,Safari house,payload.d.9.13,,
9-14,L3-L2 voltage,Safari house,payload.d.9.14,,
9-15,L1-L3 voltage,Safari house,payload.d.9.15,,
9-16,Total import,Safari house,payload.d.9.16,,
9-17,Total export,Safari house,payload.d.9.17,,
9-18,Total net,Safari house,payload.d.9.18,,
9-19,L1 import,Safari house,payload.d.9.19,,
9-20,L1 export,Safari house,payload.d.9.20,,
9-21,L1 net,Safari house,payload.d.9.21,,
9-22,L2 import,Safari house,payload.d.9.22,,
9-23,L2 export,Safari house,payload.d.9.23,,
9-24,L2 net,Safari house,payload.d.9.24,,
9-25,L3 import,Safari house,payload.d.9.25,,
9-26,L3 export,Safari house,payload.d.9.26,,
9-27,L3 net,Safari house,payload.d.9.27,,
9-50,LHT65 Battery level,Safari house,payload.d.9.50,,
9-51,LHT65 Battery V,Safari house,payload.d.9.51,,
9-52,Temperature,Safari house,payload.d.9.52,,
9-53,Humidity,Safari house,payload.d.9.53,,
9-54,Ext number,Safari house,payload.d.9.54,,
9-55,External temperature,Safari house,payload.d.9.55,,
10-1,Total power,Cold chamber,payload.d.10.1,,
10-2,L1 power,Cold chamber,payload.d.10.2,,
10-3,L2 power,Cold chamber,payload.d.10.3,,
10-4,L3 power,Cold chamber,payload.d.10.4,,
10-5,L1 current,Cold chamber,payload.d.10.5,,
10-6,L2 current,Cold chamber,payload.d.10.6,,
10-7,L3 current,Cold chamber,payload.d.10.7,,
10-8,N current,Cold chamber,payload.d.10.8,,
10-9,Frequency,Cold chamber,payload.d.10.9,,
10-10,L1-N voltage,Cold chamber,payload.d.10.10,,
10-11,L2-N voltage,Cold chamber,payload.d.10.11,,
10-12,L3-N voltage,Cold chamber,payload.d.10.12,,
10-13,L1-L2 voltage,Cold chamber,payload.d.10.13,,
10-14,L3-L2 voltage,Cold chamber,payload.d.10.14,,
10-15,L1-L3 voltage,Cold chamber,payload.d.10.15,,
10-16,Total import,Cold chamber,payload.d.10.16,,
10-17,Total export,Cold chamber,payload.d.10.17,,
10-18,Total net,Cold chamber,payload.d.10.18,,
10-19,L1 import,Cold chamber,payload.d.10.19,,
10-20,L1 export,Cold chamber,payload.d.10.20,,
10-21,L1 net,Cold chamber,payload.d.10.21,,
10-22,L2 import,Cold chamber,payload.d.10.22,,
10-23,L2 export,Cold chamber,payload.d.10.23,,
10-24,L2 net,Cold chamber,payload.d.10.24,,
10-25,L3 import,Cold chamber,payload.d.10.25,,
10-26,L3 export,Cold chamber,payload.d.10.26,,
10-27,L3 net,Cold chamber,payload.d.10.27,,
inv-1,E_Day,Inverter,payload.d.inv.1,,
