x,y,label
2024-01-26 13:15:14,231.9,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:18:27,232.6,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:18:28,233.5,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:18:34,232.3,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:20:04,233.4,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:20:07,233.3,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:20:09,233.5,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:20:32,233.5,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:20:39,233.4,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:20:56,233.2,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:21:00,233.4,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:21:10,233.3,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:21:19,233.2,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:21:30,233.6,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:21:47,233.2,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:21:49,233.4,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:22:03,233.2,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:22:36,233.0,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:23:24,233.2,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:23:36,233.4,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:23:53,234.2,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:24:39,233.7,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
2024-01-26 13:24:49,233.6,EM #11 - L2 (B) values - L2 voltage - (s-ec6260975d7c/2-2)
