x,y,label
2024-01-26 13:15:14,1.104,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:18:27,1.107,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:18:28,1.122,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:18:34,1.097,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:20:04,1.121,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:20:07,1.117,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:20:09,1.118,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:20:32,1.111,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:20:39,1.111,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:20:56,1.108,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:21:00,1.111,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:21:10,1.108,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:21:19,1.107,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:21:30,1.11,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:21:47,1.106,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:21:49,1.107,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:22:03,1.106,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:22:36,1.103,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:23:24,1.105,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:23:36,1.105,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:23:53,1.107,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:24:39,1.103,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:24:49,1.103,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:25:11,1.1,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:25:24,1.104,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:25:27,1.102,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:25:33,1.102,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:25:58,1.103,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
2024-01-26 13:26:35,1.101,EM #11 - L2 (B) values - L2 current - (s-ec6260975d7c/2-1)
