x,y,label
2024-01-26 13:15:14,2.025,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:18:27,6.944,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:18:28,13.126,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:18:34,2.131,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:20:04,13.131,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:20:07,13.12,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:20:09,13.097,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:20:32,13.091,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:20:39,13.067,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:20:56,13.089,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:21:00,13.092,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:21:10,13.058,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:21:19,13.059,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:21:30,13.091,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:21:47,13.066,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:21:49,13.076,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:22:03,13.09,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:22:36,13.061,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:23:24,13.081,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:23:36,13.067,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:23:53,13.062,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:24:39,13.066,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:24:49,13.085,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:25:11,13.058,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:25:24,13.086,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:25:27,13.069,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:25:33,13.072,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:25:58,13.064,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:26:35,13.049,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
2024-01-26 13:26:49,13.062,EM #11 - Total values - Total current - (s-ec6260975d7c/4-2)
