x,y,label
2024-01-26 13:15:58,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 15:59:57,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 16:15:17,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 16:20:17,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 16:25:17,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 16:30:18,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 17:21:00,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 17:26:00,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 18:42:06,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 18:57:17,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 19:27:58,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 22:31:53,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 23:07:16,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-26 23:22:22,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 01:14:34,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 01:29:47,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 05:44:13,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 05:49:13,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 06:14:29,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 06:59:57,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 07:30:20,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 07:40:32,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 09:37:45,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 09:42:45,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 09:47:46,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 09:52:46,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 09:57:46,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 10:22:59,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 10:27:59,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 10:32:59,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 10:38:00,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 11:18:48,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 11:44:20,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 12:19:51,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 12:29:55,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 12:50:31,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 13:56:35,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 15:03:07,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 16:40:07,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-27 17:00:20,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 00:29:53,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 01:05:40,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 04:44:26,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 05:04:54,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 05:09:55,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 05:50:24,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 05:55:25,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 06:00:25,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 13:35:09,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 15:27:23,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 16:28:38,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 19:26:53,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 21:28:28,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-28 22:19:03,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 01:03:59,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 01:14:08,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 01:19:08,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 01:24:08,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 01:39:59,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 01:50:12,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 02:10:39,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 02:15:39,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 02:20:39,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 02:25:39,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 02:35:40,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 03:05:55,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 05:19:16,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 05:55:10,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 06:50:47,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 06:55:48,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 07:10:57,50.1,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 07:31:18,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 07:36:19,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 07:41:19,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 07:46:19,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 08:51:59,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 08:56:59,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 09:27:31,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 09:47:52,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 09:52:52,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 10:54:21,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 10:59:21,50.0,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
2024-01-29 11:09:25,49.9,EM #16 - L3 (C) values - L3 frequency - (s-c8f09e8955c4/3-6)
