x,y,label
2024-01-26 13:15:14,0.12,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:18:27,0.19,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:18:28,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:18:34,0.33,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:20:04,0.28,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:20:07,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:20:09,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:20:32,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:20:39,0.35,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:20:56,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:21:00,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:21:10,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:21:19,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:21:30,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:21:47,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:21:49,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:22:03,0.37,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:22:36,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:23:24,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:23:36,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:23:53,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:24:39,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:24:49,0.37,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:25:11,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:25:24,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:25:27,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:25:33,0.37,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:25:58,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:26:35,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:26:49,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:27:18,0.37,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:27:23,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:27:56,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:28:04,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:28:21,0.35,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:28:36,0.42,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:28:50,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:28:55,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
2024-01-26 13:29:12,0.4,EM #11 - L3 (C) values - L3 Power factor - (s-ec6260975d7c/3-5)
